"Product Name","Product Price","Product Discount","Product Image","Product Link"
"Tan With Mesh Extra Large Oversized Sun Hat","£20.00£7.75","(61% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/tan-with-mesh-extra-large-oversized-sun-hat.html"
"Recycled Gold Double Chunky Overlapped Hoop...","£8.00£3.00","(63% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-double-chunky-overlapped-hoop-earrings.html"
"Brown Jewelled Detail Round Sunglasses","£12.00£5.75","(52% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/brown-jewelled-detail-round-sunglasses.html"
"Recycled Gold Multi Chains 6 Pack Bracelets","£10.00£6.25","(38% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-multi-chains-6-pack-bracelets.html"
"Cream Animal Swirl Bucket Hat","£12.00£4.50","(63% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/cream-animal-swirl-bucket-hat.html"
"Gold Rope Twist Hoop Earrings","£6.00£3.50","(42% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-rope-twist-hoop-earrings.html"
"Yellow Snake Print Extreme Ruched Handle...","£20.00£8.00","(60% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/yellow-snake-print-extreme-ruched-handle-shoulder-bag.html"
"Real Gold Plated Mixed Metal Double Chain Bracelet","£8.00£5.00","(38% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/real-gold-plated-mixed-metal-double-chain-bracelet.html"
"Black Frameless Square Frame Sunglasses","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-frameless-square-frame-sunglasses.html"
"Gold Texturred Chunky Belly Chain","£15.00£13.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-texturred-chunky-belly-chain.html"
"Gold 5 Assorted Chunky Ring Pack","£6.00£3.00","(50% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-5-assorted-chunky-ring-pack.html"
"Yellow Basic Lilo","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/yellow-basic-lilo.html"
"Multi Pastel Wiggle 2 Pack Hair Claw","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/multi-pastel-wiggle-2-pack-hair-claw.html"
"Gold Textured Circle Charm Delicate Layered...","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-textured-circle-charm-delicate-layered-bracelet.html"
"White Heavy Chain Detail Shoulder Bag","£20.00£18.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-heavy-chain-detail-shoulder-bag.html"
"Recycled Gold Delicate Oval Stone Layered Necklace","£5.00£4.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-delicate-oval-stone-layered-necklace.html"
"Blue Heavy Chain Detail Shoulder Bag","£22.00£19.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/blue-heavy-chain-detail-shoulder-bag.html"
"Silver Iridescent Diamante Belly Chain","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-iridescent-diamante-belly-chain.html"
"Black Rounded Lens Retro Sunglasses","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-rounded-lens-retro-sunglasses.html"
"White Plain Bucket Hat","£10.00£9.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-plain-bucket-hat.html"
"RENEW Lime Swirl Print Oversized Scrunchie","£4.00£2.50","(38% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/renew-lime-swirl-print-oversized-scrunchie.html"
"Navy Blue Chain Print Bandana","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/navy-blue-chain-print-bandana.html"
"White Double Ring Waist Belt","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-double-ring-waist-belt.html"
"Lime Heavy Chain Detail Shoulder Bag","£22.00£19.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/lime-heavy-chain-detail-shoulder-bag.html"
"Pink Extreme Ruched Handle Shoulder Bag","£18.00£16.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/pink-extreme-ruched-handle-shoulder-bag.html"
"Gold Small Chunky Tubular Hoop Earrings","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-small-chunky-tubular-hoop-earrings.html"
"Hot Pink Plisse Bandana","£10.00£9.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/hot-pink-plisse-bandana.html"
"Silver Jean Chains","£6.00£1.50","(75% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-jean-chains.html"
"Plain Black Bucket Hat","£10.00£9.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/plain-black-bucket-hat.html"
"Black Gold Frame Large Cat Eye Sunglasses","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-gold-frame-large-cat-eye-sunglasses.html"
"White Croc PU Envelope Grab Bag","£20.00£18.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-croc-pu-envelope-grab-bag.html"
"Recycled Gold Heart Charm Thick Chain Layered...","£4.00£3.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-heart-charm-thick-chain-layered-bracelet.html"
"Recycled Silver Chunky Multi Chain T-Bar...","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-silver-chunky-multi-chain-t-bar-bracelet-pack.html"
"PRETTYLITTLETHING Black Embossed Handbag","£22.00£19.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-black-embossed-handbag.html"
"Silver Delicate Infinity Sign Necklace","£4.00£3.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-delicate-infinity-sign-necklace.html"
"Basic Black Fedora Hat","£10.00£8.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/basic-black-fedora-hat.html"
"PRETTYLITTLETHING Gold Engraved Hoop Earrings","£10.00£9.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-gold-engraved-hoop-earrings.html"
"Black Textured Circular Buckle Waist Belt","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-textured-circular-buckle-waist-belt.html"
"Black Quilted PU Shoulder Bag","£20.00£18.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-quilted-pu-shoulder-bag.html"
"PRETTYLITTLETHING Black Branded Oversized...","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-black-branded-oversized-square-sunglasses.html"
"Recycled Gold Round Detail Belly Chain","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-round-detail-belly-chain.html"
"Gold Chunky Twist Hoop Earrings","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-chunky-twist-hoop-earrings.html"
"Orange Extreme Ruched Handle Shoulder Bag","£18.00£16.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/orange-extreme-ruched-handle-shoulder-bag.html"
"Gold Simple Link Chain Choker","£4.00£3.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-simple-link-chain-choker.html"
"White PU Twist Headband","£6.00£4.00","(33% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-pu-twist-headband.html"
"White PU Flap Over Baguette Shoulder Bag","£18.00£15.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-pu-flap-over-baguette-shoulder-bag.html"
"Gold Cross Multi Layering Necklace","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-cross-multi-layering-necklace.html"
"White Pearl Gold Beaded Hoop Earrings","£10.00£8.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/white-pearl-gold-beaded-hoop-earrings.html"
"Chocolate Double Ring Waist Belt","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/chocolate-double-ring-waist-belt.html"
"Gold Triple Chain Short Necklace","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-triple-chain-short-necklace.html"
"Brown Faded Lens Square Frame Frameless Sunglasses","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/brown-faded-lens-square-frame-frameless-sunglasses.html"
"Gold Mini Chunky Double Hoop Earrings","£5.00£4.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-mini-chunky-double-hoop-earrings.html"
"Gold Assorted Chunky 3 Chain Bracelet Pack","£8.00£2.50","(69% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-assorted-chunky-3-chain-bracelet-pack.html"
"Recycled Gold T Bar And Padlock Triple Layering...","£8.00£3.25","(59% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-t-bar-and-padlock-triple-layering-necklace.html"
"Gold Chunky Thick Chain Belt","£12.00£5.00","(58% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-chunky-thick-chain-belt.html"
"Recycled Gold Double Curb Chain Gold Chilli...","£8.00£2.75","(66% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-double-curb-chain-gold-chilli-necklace.html"
"PRETTYLITTLETHING Brown Logo Socks","£5.00£1.75","(65% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-brown-logo-socks.html"
"PRETTYLITTLETHING Recycled Gold Three Pack...","£6.00£2.75","(54% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-recycled-gold-three-pack-dainty-chain-bracelets.html"
"Black Eyelet Belt","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-eyelet-belt.html"
"Recycled Gold 4 Assorted Hoop Pack Earrings","£8.00£2.75","(66% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-4-assorted-hoop-pack-earrings.html"
"PRETTYLITTLETHING Black Mono Trainer Socks","£4.00£1.75","(56% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-black-mono-trainer-socks.html"
"Black Grey And White Three Pack Scrunchie","£2.00£1.50","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-grey-and-white-three-pack-scrunchie.html"
"Basic White Sport Socks","£3.00£2.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/basic-white-sport-socks.html"
"Gold Dragon Pendant Chain Belt","£10.00£3.25","(68% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-dragon-pendant-chain-belt.html"
